, , CE, , ,CE+
test, size, variables, clauses, time, variables, clauses, time
1, 5, 774, 891, 4, 650, 154, 2 
2, 6, 1547, 2061, 2, 1332, 404, 1 
3, 8, 4671, 7893, 5, 4160, 1995, 3 
4, 9, 7370, 13617, 8, 6642, 3757, 3 
5, 12, 22607, 50320, 21, 20880, 16590, 7 
6, 15, 54224, 135529, 20, 50850, 49232, 8 
7, 17, 88722, 234263, 31, 83810, 88831, 9 
8, 17, 88722, 234279, 31, 83810, 88843, 10 
9, 20, 168399, 473216, 70, 160400, 188209, 30 
10, 20, 168399, 473232, 45, 160400, 188141, 22 
11, 25, 406874, 1227250, 132, 391250, 513972, 61 
12, 30, 837899, 2649587, 212, 810900, 1145795, 111 
13, 35, 1544724, 5052193, 742, 1501850, 2233575, 368 
14, 40, 2625599, 8806991, 1904, 2561600, 3957872, 863 
15, 45, 4193774, 14346217, 1559, 4102650, 6529043, 973 
16, 50, 6377499, 22161588, 4694, 6252500, 10185776, 4304 
17, 55, 9320024, 32805286, 9960, 9153650, 15199295, 4594 
18, 60, 13179599, 46889338, 18089, 12963600, 21869191, 4289 
